run_label,Re,N,t,Lambda_max,I_xi_L2,I_xi_turb
V5_Re3200_N128,3200.0,128,0.01,279.87,0.044673,0.004451
V5_Re3200_N128,3200.0,128,0.51,327.25,0.045317,0.004617
V5_Re3200_N128,3200.0,128,1.01,257.83,0.046512,0.004866
V5_Re3200_N128,3200.0,128,1.51,231.51,0.048272,0.005260
V5_Re3200_N128,3200.0,128,2.01,186.19,0.050466,0.005772
V5_Re3200_N128,3200.0,128,2.52,168.78,0.053196,0.006526
V5_Re3200_N128,3200.0,128,3.03,139.05,0.056021,0.007458
V5_Re3200_N128,3200.0,128,3.54,103.85,0.059493,0.009109
V5_Re3200_N128,3200.0,128,4.05,81.45,0.063011,0.010746
V5_Re3200_N128,3200.0,128,4.56,75.31,0.066662,0.012341
V5_Re3200_N128,3200.0,128,5.07,91.56,0.070011,0.013820
V5_Re3200_N128,3200.0,128,5.58,84.85,0.072903,0.014971
V5_Re3200_N128,3200.0,128,6.09,80.65,0.075260,0.015851
V5_Re3200_N128,3200.0,128,6.60,71.21,0.077077,0.016416
V5_Re3200_N128,3200.0,128,7.11,69.66,0.078026,0.016549
V5_Re3200_N128,3200.0,128,7.62,65.59,0.077410,0.016075
V5_Re3200_N128,3200.0,128,8.13,66.69,0.076187,0.015256
V5_Re3200_N128,3200.0,128,8.64,67.94,0.075353,0.014460
V5_Re3200_N128,3200.0,128,9.15,74.28,0.076140,0.014503
V5_Re3200_N128,3200.0,128,9.66,75.75,0.078077,0.014806
V5_Re3200_N128,3200.0,128,10.17,85.12,0.080299,0.015337
V5_Re3200_N128,3200.0,128,10.68,100.08,0.081967,0.016099
V5_Re3200_N128,3200.0,128,11.19,112.92,0.084203,0.017434
V5_Re3200_N128,3200.0,128,11.70,129.83,0.085930,0.018491
V5_Re3200_N128,3200.0,128,12.21,152.17,0.087483,0.019424
V5_Re3200_N128,3200.0,128,12.72,157.24,0.089342,0.020510
V5_Re3200_N128,3200.0,128,13.23,182.44,0.090838,0.021437
V5_Re3200_N128,3200.0,128,13.74,183.64,0.091819,0.022073
V5_Re3200_N128,3200.0,128,14.25,209.91,0.092793,0.022677
V5_Re3200_N128,3200.0,128,14.76,205.62,0.093493,0.023107
V5_Re3200_N128,3200.0,128,15.27,231.92,0.093961,0.023494
V5_Re3200_N128,3200.0,128,15.78,224.33,0.094458,0.023902
V5_Re3200_N128,3200.0,128,16.28,250.32,0.094842,0.024137
V5_Re3200_N128,3200.0,128,16.78,242.80,0.095166,0.024344
V5_Re3200_N128,3200.0,128,17.28,262.94,0.095623,0.024638
V5_Re3200_N128,3200.0,128,17.78,255.95,0.096048,0.024965
V5_Re3200_N128,3200.0,128,18.28,271.12,0.096529,0.025195
V5_Re3200_N128,3200.0,128,18.78,264.68,0.096948,0.025502
V5_Re3200_N128,3200.0,128,19.28,275.72,0.097393,0.025784
V5_Re3200_N128,3200.0,128,19.78,300.75,0.097808,0.026015
V5_Re4800_N128,4800.0,128,0.01,279.73,0.044671,0.004451
V5_Re4800_N128,4800.0,128,0.51,319.83,0.045187,0.004576
V5_Re4800_N128,4800.0,128,1.01,247.36,0.046429,0.004830
V5_Re4800_N128,4800.0,128,1.51,242.88,0.048172,0.005203
V5_Re4800_N128,4800.0,128,2.01,183.67,0.050444,0.005783
V5_Re4800_N128,4800.0,128,2.52,165.16,0.053103,0.006499
V5_Re4800_N128,4800.0,128,3.03,132.04,0.056483,0.007680
V5_Re4800_N128,4800.0,128,3.54,110.56,0.060424,0.009610
V5_Re4800_N128,4800.0,128,4.05,90.32,0.064768,0.011639
V5_Re4800_N128,4800.0,128,4.56,68.11,0.069080,0.013515
V5_Re4800_N128,4800.0,128,5.07,56.34,0.073211,0.015212
V5_Re4800_N128,4800.0,128,5.58,51.32,0.077003,0.016713
V5_Re4800_N128,4800.0,128,6.09,51.89,0.080269,0.017825
V5_Re4800_N128,4800.0,128,6.60,55.51,0.082884,0.018537
V5_Re4800_N128,4800.0,128,7.11,54.62,0.085016,0.018958
V5_Re4800_N128,4800.0,128,7.62,55.04,0.086516,0.019108
V5_Re4800_N128,4800.0,128,8.13,53.59,0.086628,0.018719
V5_Re4800_N128,4800.0,128,8.64,52.85,0.086289,0.018133
V5_Re4800_N128,4800.0,128,9.15,50.96,0.084450,0.017451
V5_Re4800_N128,4800.0,128,9.66,47.14,0.083193,0.016930
V5_Re4800_N128,4800.0,128,10.17,46.10,0.084247,0.017415
V5_Re4800_N128,4800.0,128,10.68,51.70,0.086341,0.018855
V5_Re4800_N128,4800.0,128,11.19,61.45,0.088792,0.020538
V5_Re4800_N128,4800.0,128,11.70,80.03,0.090769,0.022132
V5_Re4800_N128,4800.0,128,12.21,96.92,0.093003,0.023850
V5_Re4800_N128,4800.0,128,12.72,119.17,0.095006,0.025271
V5_Re4800_N128,4800.0,128,13.23,130.85,0.096343,0.026249
V5_Re4800_N128,4800.0,128,13.74,145.35,0.097911,0.027175
V5_Re4800_N128,4800.0,128,14.25,150.87,0.099776,0.028448
V5_Re4800_N128,4800.0,128,14.76,154.78,0.101233,0.029470
V5_Re4800_N128,4800.0,128,15.27,177.34,0.102077,0.030061
V5_Re4800_N128,4800.0,128,15.78,174.85,0.103080,0.030870
V5_Re4800_N128,4800.0,128,16.28,195.60,0.104030,0.031465
V5_Re4800_N128,4800.0,128,16.78,197.90,0.105063,0.032207
V5_Re4800_N128,4800.0,128,17.28,214.98,0.106052,0.032966
V5_Re4800_N128,4800.0,128,17.78,237.41,0.106932,0.033557
V5_Re4800_N128,4800.0,128,18.28,231.95,0.107828,0.034210
V5_Re4800_N128,4800.0,128,18.78,251.16,0.108657,0.034811
V5_Re4800_N128,4800.0,128,19.28,287.89,0.109517,0.035462
V5_Re4800_N128,4800.0,128,19.78,329.73,0.110465,0.036014
V5_Re6400_N128,6400.0,128,0.01,279.67,0.044670,0.004451
V5_Re6400_N128,6400.0,128,0.51,316.22,0.045119,0.004558
V5_Re6400_N128,6400.0,128,1.01,243.06,0.046371,0.004793
V5_Re6400_N128,6400.0,128,1.51,234.73,0.048042,0.005153
V5_Re6400_N128,6400.0,128,2.01,184.63,0.050390,0.005767
V5_Re6400_N128,6400.0,128,2.52,162.69,0.053050,0.006422
V5_Re6400_N128,6400.0,128,3.03,121.99,0.056779,0.007849
V5_Re6400_N128,6400.0,128,3.54,98.36,0.060918,0.010001
V5_Re6400_N128,6400.0,128,4.05,80.36,0.065790,0.012222
V5_Re6400_N128,6400.0,128,4.56,65.82,0.070510,0.014327
V5_Re6400_N128,6400.0,128,5.07,54.55,0.075039,0.016083
V5_Re6400_N128,6400.0,128,5.58,50.71,0.079406,0.017661
V5_Re6400_N128,6400.0,128,6.09,58.87,0.082948,0.018812
V5_Re6400_N128,6400.0,128,6.60,63.77,0.086184,0.019699
V5_Re6400_N128,6400.0,128,7.11,64.04,0.089205,0.020323
V5_Re6400_N128,6400.0,128,7.62,65.72,0.091013,0.020546
V5_Re6400_N128,6400.0,128,8.13,59.54,0.092439,0.020499
V5_Re6400_N128,6400.0,128,8.64,56.73,0.092674,0.020866
V5_Re6400_N128,6400.0,128,9.15,58.27,0.092985,0.021263
V5_Re6400_N128,6400.0,128,9.66,54.02,0.091840,0.021587
V5_Re6400_N128,6400.0,128,10.17,50.47,0.090896,0.022062
V5_Re6400_N128,6400.0,128,10.68,47.42,0.090594,0.022936
V5_Re6400_N128,6400.0,128,11.19,42.13,0.092789,0.024759
