Re,N,Lambda_init,Lambda_trough,Lambda_final,final_over_trough,omega_max_final,Omega_final,label
400.0,128,344.2,154.3,159.2,1.0,0.17,0.7432,3D_Re400_N128
800.0,128,339.3,189.4,213.7,1.1,0.35,1.7647,3D_Re800_N128
1600.0,64,322.9,117.8,266.7,2.3,0.69,3.5662,3D_Re1600_N64
1600.0,128,339.0,139.7,267.6,1.9,0.70,3.5662,3D_Re1600_N128
3200.0,64,330.5,59.3,296.0,5.0,1.30,6.3686,3D_Re3200_N64
3200.0,128,342.1,64.7,311.7,4.8,1.34,6.3687,3D_Re3200_N128
3600.0,128,341.5,53.1,316.0,6.0,1.46,6.9410,3D_Re3600_N128
4000.0,128,340.0,44.7,330.1,7.4,1.57,7.4716,3D_Re4000_N128
4800.0,128,351.2,44.9,349.3,7.8,1.74,8.4240,3D_Re4800_N128
5600.0,128,350.6,44.9,396.3,8.8,1.88,9.2552,3D_Re5600_N128
6400.0,128,350.2,40.4,391.6,9.7,1.98,9.9888,3D_Re6400_N128
6400.0,128,350.2,40.4,1950.1,48.2,2.65,6.8841,3D_Re6400_N128_t40
6400.0,256,346.9,44.0,431.3,9.8,1.98,9.9888,3D_Re6400_N256
