t,Lambda,omega_max,Omega
0.01,279.67,2.0537,12.308337
0.12,350.17,2.0407,12.270984
0.22,336.91,2.0411,12.237536
0.32,348.32,2.0351,12.204544
0.42,334.24,2.0263,12.171977
0.52,320.20,2.0261,12.139806
0.62,314.51,2.0179,12.108002
0.72,303.75,2.0144,12.076539
0.82,301.75,2.0121,12.045396
0.92,272.61,2.0024,12.014557
1.02,247.70,2.0008,11.984013
1.12,234.04,1.9962,11.953762
1.22,281.31,1.9856,11.923812
1.32,255.61,1.9821,11.894179
1.42,247.53,1.9762,11.864887
1.52,240.20,1.9658,11.835970
1.62,217.06,1.9567,11.807471
1.72,214.20,1.9508,11.779439
1.82,214.80,1.9439,11.751930
1.92,184.33,1.9416,11.725007
2.03,193.37,1.9362,11.696149
2.14,189.06,1.9283,11.668172
2.25,164.17,1.9257,11.641172
2.36,176.28,1.9222,11.615245
2.47,160.31,1.9172,11.590482
2.58,147.58,1.9108,11.566971
2.69,150.38,1.9033,11.544795
2.80,146.16,1.8988,11.524028
2.91,123.09,1.8960,11.504732
3.02,129.13,1.8925,11.486962
3.13,124.13,1.8881,11.470758
3.24,112.56,1.8829,11.456150
3.35,107.31,1.8766,11.443154
3.46,110.83,1.8735,11.431772
3.57,101.53,1.8719,11.421996
3.68,96.84,1.8692,11.413802
3.79,92.03,1.8650,11.407157
3.90,91.28,1.8593,11.402017
4.01,83.70,1.8537,11.398325
4.12,82.30,1.8523,11.396019
4.23,73.09,1.8502,11.395025
4.34,77.83,1.8485,11.395265
4.45,65.79,1.8466,11.396656
4.56,65.82,1.8447,11.399107
4.67,67.88,1.8469,11.402529
4.78,54.21,1.8465,11.406828
4.89,56.66,1.8460,11.411909
5.00,59.30,1.8483,11.417679
5.11,58.18,1.8493,11.424044
5.22,51.12,1.8475,11.430914
5.33,47.09,1.8484,11.438200
5.44,53.67,1.8493,11.445815
5.55,50.55,1.8502,11.453679
5.66,51.20,1.8498,11.461713
5.77,55.00,1.8506,11.469843
5.88,57.01,1.8522,11.477997
5.99,57.73,1.8523,11.486111
6.10,58.83,1.8518,11.494122
6.21,59.20,1.8535,11.501972
6.32,58.23,1.8548,11.509607
6.43,64.20,1.8525,11.516976
6.54,62.11,1.8542,11.524031
6.65,63.45,1.8563,11.530728
6.76,63.05,1.8547,11.537026
6.87,62.73,1.8544,11.542886
6.98,65.87,1.8575,11.548272
7.09,62.46,1.8565,11.553148
7.20,68.76,1.8549,11.557483
7.31,62.46,1.8586,11.561247
7.42,62.31,1.8583,11.564412
7.53,66.08,1.8556,11.566951
7.64,64.73,1.8606,11.568839
7.75,62.91,1.8611,11.570055
7.86,62.83,1.8575,11.570578
7.97,59.41,1.8627,11.570388
8.08,63.17,1.8656,11.569469
8.19,60.72,1.8641,11.567808
8.30,61.37,1.8593,11.565392
8.41,61.86,1.8666,11.562212
